NDM-15
NDM-7
NDM-19
NDM-4
NDM-12
NDM-21
NDM-17
NDM-5
NDM-11
NDM-14
NDM-8
NDM-3
NDM-13
NDM-6
NDM-10
NDM-1
NDM-18
NDM-16
NDM-2
NDM-9
KPC-3-243A
KPC-28
KPC-3-177E
KPC-3-7P177E179Y
KPC-3-177E179Y
KPC-31_3_179Y
KPC-32_3_179Y243M
KPC-9
KPC-19
KPC-3-166ELi
KPC-3-166ELd
KPC-29
KPC-7
KPC-3
KPC-12
KPC-13
KPC-10
KPC-11
KPC-5
KPC-6
KPC-8
KPC-4
KPC-15
KPC-21
KPC-27
KPC-22
KPC-17
KPC-16
KPC-14
KPC-25
KPC-18
KPC-1
KPC-26
KPC-2
KPC-20
KPC-30
KPC-24
Tn4401b
Tn4401e
Tn4401d
Tn4401c
Tn4401a
Tn4401g
Tn4401h
Tn4401-MEKPCI
Tn4401-MEKPCII
Tn4401-MEKPCIII
Tn4401-MEKPCIV
BIGdb_allA
BIGdb_allB
BIGdb_allC
BIGdb_allD
BIGdb_allR
BIGdb_allS
BIGdb_arcC
BIGdb_clbA
BIGdb_clbB
BIGdb_clbC
BIGdb_clbD
BIGdb_clbE
BIGdb_clbF
BIGdb_clbG
BIGdb_clbH
BIGdb_clbI
BIGdb_clbJ
BIGdb_clbK
BIGdb_clbL
BIGdb_clbM
BIGdb_clbN
BIGdb_clbO
BIGdb_clbP
BIGdb_clbQ
BIGdb_clbR
BIGdb_fdrA
BIGdb_fyuA
BIGdb_gcl
BIGdb_glxK
BIGdb_glxR
BIGdb_hyi
BIGdb_iroB
BIGdb_iroC
BIGdb_iroD
BIGdb_iroN
BIGdb_irp1
BIGdb_irp2
BIGdb_iucA
BIGdb_iucB
BIGdb_iucC
BIGdb_iucD
BIGdb_iutA
BIGdb_kfuA
BIGdb_kfuB
BIGdb_kfuC
BIGdb_KP1_1364
BIGdb_KP1_1371
BIGdb_kvgA
BIGdb_kvgS
BIGdb_mceA
BIGdb_mceB
BIGdb_mceC
BIGdb_mceD
BIGdb_mceE
BIGdb_mceG
BIGdb_mceH
BIGdb_mceI
BIGdb_mceJ
BIGdb_mrkA
BIGdb_mrkB
BIGdb_mrkC
BIGdb_mrkD
BIGdb_mrkF
BIGdb_mrkH
BIGdb_mrkI
BIGdb_mrkJ
BIGdb_rmpA2
BIGdb_rmpA
BIGdb_ybbW
BIGdb_ybbY
BIGdb_ybtA
BIGdb_ybtE
BIGdb_ybtP
BIGdb_ybtQ
BIGdb_ybtS
BIGdb_ybtT
BIGdb_ybtU
BIGdb_ybtX
BIGdb_ylbE
BIGdb_ylbF
