IncI_Gamma_1	AP011954  IncI_Gamma_1_AP011954
IncL/M(pMU407)_1_pMU407	U27345  IncL/M(pMU407)_1_pMU407_U27345
IncL/M(pOXA-48)_1_pOXA-48	JN626286  IncL/M(pOXA-48)_1_pOXA-48_JN626286
IncL/M_1	AF550415  IncL/M_1__AF550415
IncN2_1	JF785549  IncN2_1__JF785549
IncN3_1	EF219134  IncN3_1__EF219134
IncN_1	AY046276  IncN_1__AY046276
IncP1_1	BN000925  IncP1_1__BN000925
IncP1_2	U67194  IncP1_2__U67194
IncP1_3	KX377410  IncP1_3__KX377410
IncP6_1	JF785550  IncP6_1__JF785550
IncQ1_1	M28829.1  IncQ1_1__M28829.1
IncQ2_1	FJ696404  IncQ2_1__FJ696404
IncR_1	DQ449578  IncR_1__DQ449578
IncT_1	AP004237  IncT_1__AP004237
IncU_1	DQ401103  IncU_1__DQ401103
IncW_1	EF633507  IncW_1__EF633507
IncX1_1	EU370913  IncX1_1__EU370913
IncX1_2	CP003417  IncX1_2__CP003417
IncX1_3	CP001123  IncX1_3__CP001123
IncX1_4	JN935898  IncX1_4__JN935898
IncX2_1	JQ269335  IncX2_1__JQ269335
IncX3(pEC14)_1_pEC14	JN935899  IncX3(pEC14)_1_pEC14_JN935899
IncX3_1	JN247852  IncX3_1__JN247852
IncX4_1	CP002895  IncX4_1__CP002895
IncX4_2	FN543504  IncX4_2__FN543504
IncX5_1	JX193302  IncX5_1__JX193302
IncX5_2	MF062700.1  IncX5_2__MF062700.1
IncX6_1	KU302800  IncX6_1__KU302800
IncX7_1	NC_015054  IncX7_1__NC_015054
IncX8_1	AM942760  IncX8_1__AM942760
IncX9_1	NC_010257  IncX9_1__NC_010257
IncY_1	K02380  IncY_1__K02380
RepA_1_pKPC-CAV1321	CP011611  RepA_1_pKPC-CAV1321_CP011611
Rep_1_pKPC-2	CP011573  Rep_1_pKPC-2_CP011573
p0111_1	AP010962  p0111_1__AP010962
pADAP_1	AF135182  pADAP_1__AF135182
pEC4115_1	NC_011351  pEC4115_1__NC_011351
pENTAS02_1	CP003028  pENTAS02_1__CP003028
pESA2_1	CP000784  pESA2_1__CP000784
pIP31758(p153)_1_p153	CP000719  pIP31758(p153)_1_p153_CP000719
pIP31758(p59)_1_p59	CP000718  pIP31758(p59)_1_p59_CP000718
pIP32953_1	BX936400  pIP32953_1__BX936400
pJARS36_1	NC_015068  pJARS36_1__NC_015068
pSL483_1	CP001137  pSL483_1__CP001137
pSM22_1	NC_015972  pSM22_1__NC_015972
pXuzhou21_1	CP001927  pXuzhou21_1__CP001927
pYE854_1	AM905950  pYE854_1__AM905950
